table,lev,lev_name,time,kuski
7,44,Freefall,"33,71",Joni
7,45,Sink,"33,85",zyntifox
7,46,Bowling,"1:10,11",zeth
7,47,Enigma,"27,08",zeth
7,48,Downhill,"54,77",Joni
7,49,"What the Heck","44,39",Joni
7,50,"Expert System","1:01,13",loX
7,51,"Tricks Abound","57,57",KingKong
7,52,"Hang Tight","26,92",Rainman
7,53,Hooked,"18,44",Markku
7,54,"Apple Harvest","1:56,66",ramone
8,1,"Warm Up","14,37",Stikky
8,2,"Flat Track","16,87",mr
8,3,"Twin Peaks","20,01",DeG
8,4,"Over and Under","31,68",Champi0N
8,5,"Uphill Battle","22,35","mengerle [UA]"
8,6,"Long Haul","33,41",Markku
8,7,"Hi Flyer","35,56",Champi0N
8,8,Tag,"22,55",SoGe
8,9,"Tunnel Terror","1:04,52",Dr_Luni
8,10,"The Steppes","13,66",mr
8,11,"Gravity Ride","26,52",Joni
8,12,"Islands in the Sky","22,84",Gazoline
8,13,"Hill Legend","17,64",TuA
8,14,Loop-de-Loop,"18,35",DeG
8,15,"Serpents Tale","1:07,53",zeth
8,16,"New Wave","1:34,20",Champi0N
8,17,Labyrinth,"58,87",YeeS
8,18,Spiral,"46,79",ZanguiZ
8,19,Turnaround,"40,20",Champi0N
8,20,"Upside Down","1:06,93",Joni
8,21,Hangman,"15,15",elg
8,22,Slalom,"42,86",TuA
8,23,"Quick Round","48,23",Jokke
8,24,"Ramp Frenzy","1:00,02",Jokke
8,25,Precarious,"25,11","AnTTiM [HfK]"
8,26,Circuitous,"27,65",Champi0N
8,27,"Shelf Life","38,00",Champi0N
8,28,"Bounce Back","54,84",Petri
8,29,Headbanger,"49,82",zeth
8,30,Pipe,"34,56",KingKong
8,31,"Animal Farm","1:28,81",KingKong
8,32,"Steep Corner","44,27",KingKong
8,33,Zig-Zag,"1:43,44",Champi0N
8,34,"Bumpy Journey","38,53",Garion
8,35,"Labyrinth Pro","2:38,45",loX
8,36,"Fruit in the Den","1:04,57",Jokke
8,37,Jaws,"1:01,83",DMC
8,38,Curvaceous,"33,89",Stene
8,39,Haircut,"45,41",Garion
8,40,"Double Trouble","1:30,85",loX
8,41,Framework,"40,88",KingKong
8,42,Enduro,"51,59",Mandel
8,43,"He He","1:02,59",Karlis
8,44,Freefall,"33,71",Joni
8,45,Sink,"33,85",zyntifox
8,46,Bowling,"1:10,11",zeth
8,47,Enigma,"27,08",zeth
8,48,Downhill,"54,77",Joni
8,49,"What the Heck","44,39",Joni
8,50,"Expert System","1:01,13",loX
8,51,"Tricks Abound","57,57",KingKong
8,52,"Hang Tight","26,80",zyntifox
8,53,Hooked,"18,44",Markku
8,54,"Apple Harvest","1:56,66",ramone
9,1,"Warm Up","14,37",Stikky
9,2,"Flat Track","16,87",mr
9,3,"Twin Peaks","20,01",DeG
9,4,"Over and Under","31,68",Champi0N
9,5,"Uphill Battle","22,31",Ufo
9,6,"Long Haul","33,41",Markku
9,7,"Hi Flyer","35,56",Champi0N
9,8,Tag,"22,55",SoGe
9,9,"Tunnel Terror","1:04,52",Dr_Luni
9,10,"The Steppes","13,66",mr
9,11,"Gravity Ride","26,52",Joni
9,12,"Islands in the Sky","22,84",Gazoline
9,13,"Hill Legend","17,64",TuA
9,14,Loop-de-Loop,"18,35",DeG
9,15,"Serpents Tale","1:07,53",zeth
9,16,"New Wave","1:34,20",Champi0N
9,17,Labyrinth,"58,87",YeeS
9,18,Spiral,"46,79",ZanguiZ
9,19,Turnaround,"40,20",Champi0N
9,20,"Upside Down","1:06,93",Joni
9,21,Hangman,"15,15",elg
9,22,Slalom,"42,86",TuA
9,23,"Quick Round","48,23",Jokke
9,24,"Ramp Frenzy","1:00,02",Jokke
9,25,Precarious,"25,11","AnTTiM [HfK]"
9,26,Circuitous,"27,65",Champi0N
9,27,"Shelf Life","38,00",Champi0N
9,28,"Bounce Back","54,84",Petri
9,29,Headbanger,"49,82",zeth
9,30,Pipe,"34,47",KingKong
9,31,"Animal Farm","1:28,81",KingKong
9,32,"Steep Corner","44,27",KingKong
9,33,Zig-Zag,"1:40,43",zeth
9,34,"Bumpy Journey","38,53",Garion
9,35,"Labyrinth Pro","2:38,45",loX
